,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"""Report"" for : ANDAMAN AND NICOBAR ISLANDS for year 2024-2025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessment Year,2024-2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top View,DISTRICT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
View,admin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation Type,normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.No,STATE,DISTRICT,ASSESSMENT UNIT,Rainfall (mm),,,,Total Geographical Area (ha),,,,,,Ground Water Recharge (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inflows and Outflows (ham),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Annual Ground water Recharge (ham),,,,Environmental Flows (ham),,,,Annual Extractable Ground water Resource (ham),,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,Stage of Ground Water Extraction (%),,,,Allocation of Ground Water Resource for Domestic Utilisation for projected year 2025 (ham),,,,Net Annual Ground Water Availability for Future Use (ham),,,,Quality Tagging,,,,,,Additional Potential Resources Under Specific Conditions(ham),,,Coastal Areas,,,,In-Storage Unconfined Ground Water Resources(ham),,Total Ground Water Availability in Unconfined Aquifier (ham),,Dynamic Confined Ground Water Resources(ham),,In-Storage Confined Ground Water Resources(ham),,Total Confined Ground Water Resources (ham),,Dynamic Semi Confined Ground Water Resources (ham),,In-Storage Semi Confined Ground Water Resources (ham),,Total Semi-Confined Ground Water Resources (ham),,Total Ground Water Availability in the area (ham),
,,,,,,,,Recharge Worthy Area (ha),,,,Hilly Area,Total,Rainfall Recharge,,,,Canals,,,,Surface Water Irrigation,,,,Ground Water Irrigation,,,,Tanks and Ponds,,,,Water Conservation Structure,,,,Pipelines,,,,Sewages and Flash Flood Channels,,,,C,NC,PQ,Total,Base Flow,,,,Stream Recharges,,,,Lateral Flows,,,,Vertical Flows,,,,Evaporation,,,,Transpiration,,,,Evapotranspiration,,,,C,NC,PQ,Total,,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,Major Parameter Present,,,Other Parameters Present,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,C,NC,PQ,Total,C,NC,PQ,Total,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,C,NC,PQ,Waterlogged and shallow water Table,Flood Prone,Spring Discharge,C,NC,PQ,Total,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline,Fresh,Saline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,,0,3016,0,3016,0,58040,0,58040,286106,344146,0,16376,0,16376,0,,0,0,0,0,0,0,0,0,0,0,0,152,0,152,0,0,0,0,,,,,,,,,0,16528,0,16528,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16528,0,16528,0,1653,0,1653,0,14875,0,14875,,262,,262,,83,,83,,1,,1,,346,,346,,2,,2,0,269,0,269,0,14522,0,14522,,,,,,,0,0,0,,,,,0,0,14875,0,0,,0,,0,,,,,,,,14875,0
2,ANDAMAN AND NICOBAR ISLANDS,NICOBAR,,0,2805,2805,2805,0,37247,828,38075,156091,194166,0,10996,348,11345,0,,0,0,0,0,0,0,0,0,0,0,0,16,0,16,0,0,0,0,,,,,,,,,0,11012,348,11361,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11012,348,11361,0,1101,35,1136,0,9911,314,10225,,88,3,91,,1,0,1,,0,0,0,,89,3,93,,1,1,1,0,91,3,91,0,9819,310,9819,,,,,,,0,0,0,,,,,0,0,9911,314,0,,0,,0,,,,,,,,9911,314
3,ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,,0,3016,0,3016,0,31524,0,31524,215321,246845,0,10777,0,10777,0,,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,,,,,,,,,0,10798,0,10798,,,,,,,,,,,,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10798,0,10798,0,1080,0,1080,0,9718,0,9718,,323,,323,,14,,14,,11,,11,,347,,347,,4,,4,0,332,0,332,0,9362,0,9362,,,,,,,0,0,0,,,,,0,0,9718,0,0,,0,,0,,,,,,,,9718,0
4,ANDHRA PRADESH,Alluri Sitharama Raju,,0,1258,0,1258,0,639235,0,639235,586108,1225342,0,46194,0,46194,,,,,0,3292,0,3292,0,16,0,16,,68,,68,,3187,,3187,,,,,,,,,0,52756,0,52756,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,0,52756,0,52756,0,2638,0,2638,0,50118,0,50118,,1580,,1580,,0,,0,,566,,566,,2146,,2146,,4,,4,0,2173,0,2173,0,47784,0,47784,,,,,,,,,,,,,,0,0,50118,0,0,,0,,0,,,,,,,,50118,0
5,ANDHRA PRADESH,Anakapalli,,1206,1176,0,1183,73066,273415,0,346481,82764,429245,6896,28297,0,35193,2016,,,2016,8920,17037,0,25958,968,2253,0,3222,515,1525,0,2040,1332,3124,,4456,,,,,,,,,20660,52237,0,72897,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,20660,52237,0,72897,1033,2612,0,3645,19627,49625,0,69252,1098,3860,,4958,78,411,,489,4410,11866,,16277,5586,16138,,21724,28,33,,31,1954,6209,0,8163,13485,31575,0,45061,,,,,,,,,,,,,,1247986,0,1317239,0,0,,0,,0,,,,,,,,1317239,0
6,ANDHRA PRADESH,Ananthapuramu,,514,515,0,515,243887,702592,0,946479,97832,1044311,10732,31577,0,42309,8480,,0,8480,6520,867,0,7388,3103,5318,0,8421,1810,3681,0,5492,13059,40972,0,54031,,,,,,,,,43705,82415,0,126120,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,43705,82415,0,126120,2185,4121,0,6306,41519,78295,0,119814,851,2616,,3467,61,666,,727,11161,26464,,37625,12073,29746,,41819,29,38,,35,851,2616,0,3467,29526,49382,0,78908,,,,,,,,,,,,,,0,0,119814,0,0,,0,,0,,,,,,,,119814,0
7,ANDHRA PRADESH,Annamayya,,732,752,0,748,112199,553867,0,666066,128462,794528,7353,40177,0,47530,29,,,29,74,955,0,1029,1162,7072,0,8234,1717,6765,0,8481,2565,21525,0,24089,,,,,,,,,12899,76494,0,89393,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,12899,76494,0,89393,645,3825,0,4470,12254,72669,0,84923,612,3213,,3826,0,138,,138,4391,24895,,29286,5004,28246,,33250,41,39,,39,727,3813,0,4540,7188,44299,0,51486,,,,,,,,,,,,,,0,0,84923,0,0,,0,,0,,,,,,,,84923,0
8,ANDHRA PRADESH,Bapatla,,811,797,861,827,238962,17931,123225,380118,2767,382885,20662,1946,9055,31662,9235,,556,9791,29737,386,21326,51449,3523,47,0,3570,933,6,0,939,5871,312,675,6858,,,,,,,,,69962,2697,31611,104269,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,,,0,69962,2697,31611,104269,3498,135,1581,5214,66464,2562,30030,99056,2056,126,204,2387,64,0,0,64,15322,189,0,15512,17442,316,204,17963,26,12,1,26,2440,150,243,2590,49017,2222,29788,51239,,,,,,,,,,,,,,722005,246755,791031,276786,0,,0,,0,,,,,,,,791031,276786
